prompt type;object handle;prompt tokens;completion tokens;total tokens
initial_prompt;cream1_instance_15;243;15;258
recurse_prompt;cream1_instance_15;253;5;258
recurse_prompt;cream1_instance_15;256;2;258
initial_prompt;orange-juice1_instance_16;246;18;264
recurse_prompt;orange-juice1_instance_16;259;5;264
recurse_prompt;orange-juice1_instance_16;262;2;264
initial_prompt;chips1_instance_17;243;17;260
recurse_prompt;chips1_instance_17;253;7;260
recurse_prompt;chips1_instance_17;253;5;258
recurse_prompt;chips1_instance_17;257;2;259
recurse_prompt;chips1_instance_17;258;5;263
recurse_prompt;chips1_instance_17;257;5;262
recurse_prompt;chips1_instance_17;261;0;261
recurse_prompt;chips1_instance_17;261;0;261
initial_prompt;boxed-pasta1_instance_18;246;17;263
recurse_prompt;boxed-pasta1_instance_18;252;14;266
recurse_prompt;boxed-pasta1_instance_18;259;7;266
recurse_prompt;boxed-pasta1_instance_18;259;5;264
recurse_prompt;boxed-pasta1_instance_18;259;9;268
recurse_prompt;boxed-pasta1_instance_18;263;5;268
recurse_prompt;boxed-pasta1_instance_18;263;2;265
recurse_prompt;boxed-pasta1_instance_18;256;7;263
recurse_prompt;boxed-pasta1_instance_18;256;5;261
recurse_prompt;boxed-pasta1_instance_18;256;6;262
recurse_prompt;boxed-pasta1_instance_18;260;5;265
recurse_prompt;boxed-pasta1_instance_18;260;2;262
initial_prompt;yogurt1_instance_19;243;15;258
recurse_prompt;yogurt1_instance_19;253;5;258
recurse_prompt;yogurt1_instance_19;256;2;258
initial_prompt;eggs1_instance_20;243;15;258
recurse_prompt;eggs1_instance_20;253;5;258
recurse_prompt;eggs1_instance_20;256;2;258
initial_prompt;flour1_instance_21;243;17;260
recurse_prompt;flour1_instance_21;253;7;260
recurse_prompt;flour1_instance_21;257;2;259
recurse_prompt;flour1_instance_21;257;2;259
recurse_prompt;flour1_instance_21;259;2;261
recurse_prompt;flour1_instance_21;253;5;258
recurse_prompt;flour1_instance_21;253;8;261
initial_prompt;plastic-cups1_instance_22;246;18;264
recurse_prompt;plastic-cups1_instance_22;259;7;266
recurse_prompt;plastic-cups1_instance_22;259;11;270
recurse_prompt;plastic-cups1_instance_22;259;5;264
recurse_prompt;plastic-cups1_instance_22;259;7;266
recurse_prompt;plastic-cups1_instance_22;263;2;265
recurse_prompt;plastic-cups1_instance_22;263;5;268
recurse_prompt;plastic-cups1_instance_22;263;2;265
initial_prompt;paper-plates1_instance_23;245;17;262
recurse_prompt;paper-plates1_instance_23;257;7;264
recurse_prompt;paper-plates1_instance_23;257;7;264
recurse_prompt;paper-plates1_instance_23;261;2;263
recurse_prompt;paper-plates1_instance_23;261;5;266
recurse_prompt;paper-plates1_instance_23;257;9;266
recurse_prompt;paper-plates1_instance_23;258;5;263
initial_prompt;can-of-beans1_instance_24;247;21;268
recurse_prompt;can-of-beans1_instance_24;261;7;268
recurse_prompt;can-of-beans1_instance_24;265;4;269
recurse_prompt;can-of-beans1_instance_24;265;6;271
recurse_prompt;can-of-beans1_instance_24;261;5;266
initial_prompt;granola1_instance_25;244;18;262
recurse_prompt;granola1_instance_25;250;14;264
recurse_prompt;granola1_instance_25;255;7;262
recurse_prompt;granola1_instance_25;255;5;260
recurse_prompt;granola1_instance_25;259;2;261
recurse_prompt;granola1_instance_25;260;5;265
recurse_prompt;granola1_instance_25;259;5;264
recurse_prompt;granola1_instance_25;263;0;263
recurse_prompt;granola1_instance_25;263;0;263
recurse_prompt;granola1_instance_25;263;1;264
recurse_prompt;granola1_instance_25;261;2;263
initial_prompt;cheese1_instance_26;243;15;258
recurse_prompt;cheese1_instance_26;253;5;258
recurse_prompt;cheese1_instance_26;256;2;258
initial_prompt;butter1_instance_27;243;15;258
recurse_prompt;butter1_instance_27;253;5;258
initial_prompt;apple-cider1_instance_28;246;18;264
recurse_prompt;apple-cider1_instance_28;252;9;261
recurse_prompt;apple-cider1_instance_28;259;5;264
initial_prompt;hummus1_instance_29;244;16;260
recurse_prompt;hummus1_instance_29;250;9;259
recurse_prompt;hummus1_instance_29;250;12;262
recurse_prompt;hummus1_instance_29;255;5;260
