prompt type;object handle;prompt tokens;completion tokens;total tokens
initial_prompt;cream1_instance_15;243;15;258
recurse_prompt;cream1_instance_15;253;5;258
recurse_prompt;cream1_instance_15;256;2;258
repair_prompt;cream1_instance_15;290;15;305
repair_recurse_prompt;cream1_instance_15;300;6;306
selection_prompt;cream1_instance_15;166;1;167
initial_prompt;orange-juice1_instance_16;246;18;264
recurse_prompt;orange-juice1_instance_16;259;5;264
recurse_prompt;orange-juice1_instance_16;262;2;264
repair_prompt;orange-juice1_instance_16;296;18;314
repair_recurse_prompt;orange-juice1_instance_16;309;5;314
repair_recurse_prompt;orange-juice1_instance_16;312;2;314
selection_prompt;orange-juice1_instance_16;197;1;198
initial_prompt;chips1_instance_17;243;17;260
recurse_prompt;chips1_instance_17;253;7;260
recurse_prompt;chips1_instance_17;253;5;258
recurse_prompt;chips1_instance_17;257;2;259
recurse_prompt;chips1_instance_17;258;5;263
recurse_prompt;chips1_instance_17;257;5;262
recurse_prompt;chips1_instance_17;261;0;261
recurse_prompt;chips1_instance_17;261;0;261
repair_prompt;chips1_instance_17;304;11;315
repair_prompt;chips1_instance_17;303;11;314
repair_prompt;chips1_instance_17;290;10;300
repair_recurse_prompt;chips1_instance_17;300;7;307
repair_prompt;chips1_instance_17;295;11;306
repair_recurse_prompt;chips1_instance_17;305;10;315
repair_recurse_prompt;chips1_instance_17;305;8;313
repair_prompt;chips1_instance_17;291;11;302
repair_recurse_prompt;chips1_instance_17;301;10;311
repair_recurse_prompt;chips1_instance_17;301;8;309
repair_prompt;chips1_instance_17;291;11;302
repair_prompt;chips1_instance_17;285;11;296
repair_prompt;chips1_instance_17;291;19;310
repair_recurse_prompt;chips1_instance_17;309;1;310
repair_prompt;chips1_instance_17;289;18;307
selection_prompt;chips1_instance_17;192;1;193
initial_prompt;boxed-pasta1_instance_18;246;17;263
recurse_prompt;boxed-pasta1_instance_18;252;14;266
recurse_prompt;boxed-pasta1_instance_18;259;7;266
recurse_prompt;boxed-pasta1_instance_18;259;5;264
recurse_prompt;boxed-pasta1_instance_18;259;9;268
recurse_prompt;boxed-pasta1_instance_18;263;5;268
recurse_prompt;boxed-pasta1_instance_18;263;2;265
recurse_prompt;boxed-pasta1_instance_18;263;2;265
recurse_prompt;boxed-pasta1_instance_18;256;7;263
recurse_prompt;boxed-pasta1_instance_18;256;5;261
recurse_prompt;boxed-pasta1_instance_18;256;6;262
recurse_prompt;boxed-pasta1_instance_18;260;5;265
recurse_prompt;boxed-pasta1_instance_18;260;2;262
