prompt type;object handle;prompt tokens;completion tokens;total tokens
initial_prompt;pen1_instance_10;243;16;259
recurse_prompt;pen1_instance_10;253;5;258
recurse_prompt;pen1_instance_10;253;4;257
repair_prompt;pen1_instance_10;287;14;301
repair_recurse_prompt;pen1_instance_10;297;4;301
repair_recurse_prompt;pen1_instance_10;297;1;298
repair_recurse_prompt;pen1_instance_10;297;3;300
repair_prompt;pen1_instance_10;284;10;294
repair_recurse_prompt;pen1_instance_10;292;2;294
repair_recurse_prompt;pen1_instance_10;294;4;298
repair_prompt;pen1_instance_10;283;14;297
repair_recurse_prompt;pen1_instance_10;293;3;296
repair_recurse_prompt;pen1_instance_10;293;1;294
repair_recurse_prompt;pen1_instance_10;293;3;296
initial_prompt;paper-coffee-cup1_instance_11;248;20;268
recurse_prompt;paper-coffee-cup1_instance_11;263;11;274
recurse_prompt;paper-coffee-cup1_instance_11;264;6;270
recurse_prompt;paper-coffee-cup1_instance_11;264;8;272
recurse_prompt;paper-coffee-cup1_instance_11;272;2;274
recurse_prompt;paper-coffee-cup1_instance_11;273;1;274
recurse_prompt;paper-coffee-cup1_instance_11;274;0;274
recurse_prompt;paper-coffee-cup1_instance_11;274;1;275
recurse_prompt;paper-coffee-cup1_instance_11;264;6;270
recurse_prompt;paper-coffee-cup1_instance_11;264;6;270
recurse_prompt;paper-coffee-cup1_instance_11;266;2;268
recurse_prompt;paper-coffee-cup1_instance_11;268;0;268
recurse_prompt;paper-coffee-cup1_instance_11;266;2;268
recurse_prompt;paper-coffee-cup1_instance_11;268;0;268
recurse_prompt;paper-coffee-cup1_instance_11;267;2;269
recurse_prompt;paper-coffee-cup1_instance_11;267;2;269
recurse_prompt;paper-coffee-cup1_instance_11;268;2;270
recurse_prompt;paper-coffee-cup1_instance_11;269;2;271
recurse_prompt;paper-coffee-cup1_instance_11;270;0;270
repair_prompt;paper-coffee-cup1_instance_11;308;15;323
repair_prompt;paper-coffee-cup1_instance_11;307;23;330
repair_recurse_prompt;paper-coffee-cup1_instance_11;329;1;330
repair_recurse_prompt;paper-coffee-cup1_instance_11;329;1;330
repair_recurse_prompt;paper-coffee-cup1_instance_11;329;0;329
repair_prompt;paper-coffee-cup1_instance_11;303;23;326
repair_recurse_prompt;paper-coffee-cup1_instance_11;319;8;327
repair_recurse_prompt;paper-coffee-cup1_instance_11;325;0;325
repair_prompt;paper-coffee-cup1_instance_11;298;23;321
repair_prompt;paper-coffee-cup1_instance_11;301;22;323
repair_recurse_prompt;paper-coffee-cup1_instance_11;316;9;325
repair_recurse_prompt;paper-coffee-cup1_instance_11;316;7;323
repair_recurse_prompt;paper-coffee-cup1_instance_11;317;4;321
repair_recurse_prompt;paper-coffee-cup1_instance_11;317;6;323
repair_recurse_prompt;paper-coffee-cup1_instance_11;317;6;323
repair_prompt;paper-coffee-cup1_instance_11;300;22;322
repair_prompt;paper-coffee-cup1_instance_11;298;23;321
repair_recurse_prompt;paper-coffee-cup1_instance_11;320;0;320
repair_recurse_prompt;paper-coffee-cup1_instance_11;320;1;321
repair_prompt;paper-coffee-cup1_instance_11;306;24;330
repair_prompt;paper-coffee-cup1_instance_11;306;24;330
repair_prompt;paper-coffee-cup1_instance_11;300;21;321
repair_prompt;paper-coffee-cup1_instance_11;300;22;322
repair_prompt;paper-coffee-cup1_instance_11;306;24;330
repair_prompt;paper-coffee-cup1_instance_11;298;24;322
repair_recurse_prompt;paper-coffee-cup1_instance_11;322;1;323
repair_prompt;paper-coffee-cup1_instance_11;307;25;332
repair_prompt;paper-coffee-cup1_instance_11;299;25;324
repair_recurse_prompt;paper-coffee-cup1_instance_11;322;1;323
repair_recurse_prompt;paper-coffee-cup1_instance_11;323;1;324
repair_recurse_prompt;paper-coffee-cup1_instance_11;323;1;324
repair_prompt;paper-coffee-cup1_instance_11;297;22;319
repair_prompt;paper-coffee-cup1_instance_11;297;16;313
repair_prompt;paper-coffee-cup1_instance_11;306;24;330
repair_prompt;paper-coffee-cup1_instance_11;300;23;323
repair_prompt;paper-coffee-cup1_instance_11;302;24;326
repair_prompt;paper-coffee-cup1_instance_11;301;23;324
repair_recurse_prompt;paper-coffee-cup1_instance_11;322;2;324
repair_prompt;paper-coffee-cup1_instance_11;297;23;320
repair_recurse_prompt;paper-coffee-cup1_instance_11;319;1;320
initial_prompt;pencil1_instance_12;243;16;259
recurse_prompt;pencil1_instance_12;253;9;262
recurse_prompt;pencil1_instance_12;254;3;257
recurse_prompt;pencil1_instance_12;255;2;257
recurse_prompt;pencil1_instance_12;253;5;258
recurse_prompt;pencil1_instance_12;257;3;260
repair_prompt;pencil1_instance_12;287;14;301
repair_recurse_prompt;pencil1_instance_12;297;3;300
repair_recurse_prompt;pencil1_instance_12;297;3;300
