data type;object handle;response;prompt type
retrieved_response;pen1_instance_10;the goal is that the pen is in the pen holder on the desk;recurse_prompt
retrieved_response;pen1_instance_10;the goal is that the pen is in the drawer and the drawer is closed;recurse_prompt
retrieved_response;pen1_instance_10;the goal is that the pen is in the desk drawer and the drawer is closed;initial_prompt
retrieved_response;pen1_instance_10;the goal is that the pen is in the pen cup on the desk;repair_prompt
retrieved_response;pen1_instance_10;the goal is that the pen is in the pencil holder on the desk;repair_recurse_prompt
retrieved_response;pen1_instance_10;the goal is that the pen is in the cup on the desk;repair_recurse_prompt
retrieved_response;pen1_instance_10;the goal is that the pen is in the desk drawer;repair_recurse_prompt
retrieved_response;pen1_instance_10;the goal is that the pen is in the drawer;repair_prompt
retrieved_response;pen1_instance_10;the goal is that the pen is on the shelf;repair_recurse_prompt
retrieved_response;pen1_instance_10;the goal is that the pen is in the pencil cup on the desk;repair_prompt
retrieved_response;pen1_instance_10;the goal is that the pen is in the mug on the desk;repair_recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash is in its proper place;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash is in the closet;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket and the wastebasket is in its place;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket;recurse_prompt_end_branch
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash is in the office;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the desk is clear;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket and the wastebasket is in the correct place;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the office is tidy;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket and the wastebasket is in the closet;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the waste bin and the waste bin is closed;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the office is clean;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket and the wastebasket is in the office;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trashcan is closed;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the desk is clean;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash can is closed;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket and the wastebasket is under the desk;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash is closed;initial_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trashcan and the trashcan is closed;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash can and the trash can is closed;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash;repair_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash is in the trashcan;repair_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash is in the garbage can;repair_recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash is in the receptacle;repair_recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash is in the room;repair_recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash can and the trash can is in the room;repair_recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket and the wastebasket is closed;repair_recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the garbage can and the garbage can is closed;repair_recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash bin and the trash bin is closed;repair_recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trashcan and the trashcan is empty;repair_recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash is in the bin;repair_recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash is in the trash can;repair_recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash can and the trash can is under the desk;repair_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash can and the trash can is in the office;repair_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash can and the trash can is in the closet;repair_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash can and the trash can is in the garbage can;repair_recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash can and the trash can is in the correct place;repair_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash can and the trash can is in the right place;repair_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash can and the trash can is in its place;repair_recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash can and the trash can is in the proper place;repair_recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash can and the trash can is in the correct location;repair_recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash can and the trash can is empty;repair_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash can;repair_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash is in the proper place;repair_recurse_prompt
