data_type;object handle;response;prompt type
viable_response;pen1_instance_10;the goal is that the pen is in the drawer and the drawer is closed;recurse_prompt
viable_response;pen1_instance_10;the goal is that the pen is in the drawer;repair_prompt
viable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash;repair_prompt
viable_response;pencil1_instance_12;the goal is that the pencil is in the drawer and the drawer is closed;recurse_prompt
viable_response;pencil1_instance_12;the goal is that the pencil is in the drawer;repair_prompt
viable_response;folder1_instance_13;the goal is that the folder is in the drawer and the drawer is closed;initial_prompt
viable_response;folder1_instance_13;the goal is that the folder is in the filing cabinet and the filing cabinet is closed;recurse_prompt
viable_response;folder1_instance_13;the goal is that the folder is in the filing cabinet and the drawer is closed;recurse_prompt
viable_response;folder1_instance_13;the goal is that the folder is in the filing cabinet and the cabinet is closed;recurse_prompt
viable_response;book1_instance_14;the goal is that the book is in the bookshelf;recurse_prompt_end_branch
viable_response;book1_instance_14;the goal is that the book is in the drawer and the drawer is closed;repair_recurse_prompt
viable_response;book1_instance_14;the goal is that the book is in the cabinet and the cabinet is closed;repair_prompt
viable_response;tissue1_instance_15;the goal is that the tissue is in the trash;repair_prompt
viable_response;sprite-can1_instance_16;the goal is that the sprite-can is in the recycling bin;initial_prompt_end_branch
viable_response;sprite-can1_instance_16;the goal is that the sprite-can is in the trash;repair_prompt
viable_response;dictionary1_instance_17;the goal is that the dictionary is in the drawer and the drawer is closed;recurse_prompt
viable_response;dictionary1_instance_17;the goal is that the dictionary is on the desk;repair_recurse_prompt
viable_response;dictionary1_instance_17;the goal is that the dictionary is in the drawer;repair_recurse_prompt
viable_response;dictionary1_instance_17;the goal is that the dictionary is in the cabinet and the cabinet is closed;repair_recurse_prompt
viable_response;novel1_instance_18;the goal is that the novel is in the bookshelf;repair_prompt
viable_response;novel1_instance_18;the goal is that the novel is in the drawer and the drawer is closed;repair_recurse_prompt
viable_response;novel1_instance_18;the goal is that the book is in the drawer and the drawer is closed;repair_recurse_prompt
viable_response;novel1_instance_18;the goal is that the book is in the cabinet and the cabinet is closed;repair_prompt
viable_response;novel1_instance_18;the goal is that the novel is in the cabinet and the cabinet is closed;repair_prompt
viable_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the recycling bin;initial_prompt_end_branch
viable_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the trash;recurse_prompt_end_branch
viable_response;stapler1_instance_8;the goal is that the stapler is in the drawer and the drawer is closed;recurse_prompt
viable_response;file1_instance_9;the goal is that the file is in the drawer and the drawer is closed;recurse_prompt
viable_response;file1_instance_9;the goal is that the file is in the filing cabinet and the filing cabinet is closed;initial_prompt
viable_response;file1_instance_9;the goal is that the file is in the filing cabinet and the drawer is closed;recurse_prompt
viable_response;file1_instance_9;the goal is that the file is in the filing cabinet and the cabinet is closed;recurse_prompt
