data type;object handle;response;prompt type;human reply
offered_response;pen1_instance_10;the goal is that the pen is in the drawer and the drawer is closed;initial_prompt;yes
offered_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash;initial_prompt;yes
offered_response;pencil1_instance_12;the goal is that the pencil is in the desk drawer and the drawer is closed;initial_prompt;no
offered_response;pencil1_instance_12;the goal is that the pencil is in the drawer and the drawer is closed;initial_prompt;yes
offered_response;folder1_instance_13;the goal is that the folder is in the drawer and the drawer is closed;initial_prompt;no
offered_response;folder1_instance_13;the goal is that the folder is in the desk drawer and the drawer is closed;initial_prompt;no
offered_response;book1_instance_14;the goal is that the book is on the shelf;initial_prompt;no
offered_response;book1_instance_14;the goal is that the book is on the shelf and the shelf is closed;initial_prompt;no
offered_response;book1_instance_14;the goal is that the book is in the bookshelf and the bookshelf is closed;initial_prompt;no
offered_response;tissue1_instance_15;the goal is that the tissue is in the trash can and the trash can is closed;initial_prompt;no
offered_response;tissue1_instance_15;the goal is that the tissue is in the trashcan and the trashcan is closed;initial_prompt;no
offered_response;tissue1_instance_15;the goal is that the tissue is in the wastebasket and the wastebasket is in the closet;initial_prompt;no
offered_response;sprite-can1_instance_16;the goal is that the sprite-can is in the recycling bin and the recycling bin is closed;initial_prompt;no
offered_response;sprite-can1_instance_16;the goal is that the sprite-can is in the trash;initial_prompt;no
offered_response;sprite-can1_instance_16;the goal is that the sprite-can is in the trash and the office is clean;initial_prompt;no
offered_response;dictionary1_instance_17;the goal is that the dictionary is on the shelf;initial_prompt;no
offered_response;dictionary1_instance_17;the goal is that the dictionary is on the shelf and the shelf is closed;initial_prompt;no
offered_response;dictionary1_instance_17;the goal is that the dictionary is on the bookshelf and the bookshelf is closed;initial_prompt;no
offered_response;novel1_instance_18;the goal is that the novel is on the bookshelf and the bookshelf is closed;initial_prompt;no
offered_response;novel1_instance_18;the goal is that the novel is on the shelf and the shelf is organized;initial_prompt;no
offered_response;novel1_instance_18;the goal is that the novel is on the shelf and the shelf is closed;initial_prompt;no
offered_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the recycling bin and the recycling bin is closed;initial_prompt;no
offered_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the drawer and the drawer is closed;initial_prompt;no
offered_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the recycling bin and the desk is clean;initial_prompt;no
offered_response;stapler1_instance_8;the goal is that the stapler is in the desk drawer;initial_prompt;no
offered_response;stapler1_instance_8;the goal is that the stapler is in the drawer and the drawer is closed;initial_prompt;yes
offered_response;file1_instance_9;the goal is that the file is in the drawer and the drawer is closed;initial_prompt;no
offered_response;file1_instance_9;the goal is that the file is in the filing cabinet and the filing cabinet is closed;initial_prompt;yes
