prompt type;object handle;prompt tokens;completion tokens;total tokens
initial_prompt;pen1_instance_10;243;16;259
initial_prompt;pen1_instance_10;243;94;337
initial_prompt;pen1_instance_10;243;16;259
initial_prompt;pen1_instance_10;243;15;258
initial_prompt;pen1_instance_10;243;14;257
initial_prompt;paper-coffee-cup1_instance_11;248;20;268
initial_prompt;paper-coffee-cup1_instance_11;248;113;361
initial_prompt;paper-coffee-cup1_instance_11;248;22;270
initial_prompt;pencil1_instance_12;243;16;259
initial_prompt;pencil1_instance_12;243;100;343
initial_prompt;pencil1_instance_12;243;15;258
initial_prompt;pencil1_instance_12;243;19;262
initial_prompt;folder1_instance_13;243;15;258
initial_prompt;folder1_instance_13;243;92;335
initial_prompt;folder1_instance_13;243;16;259
initial_prompt;folder1_instance_13;243;16;259
initial_prompt;folder1_instance_13;243;15;258
initial_prompt;folder1_instance_13;243;15;258
initial_prompt;book1_instance_14;243;15;258
initial_prompt;book1_instance_14;243;82;325
initial_prompt;book1_instance_14;243;10;253
initial_prompt;book1_instance_14;243;19;262
initial_prompt;tissue1_instance_15;243;17;260
initial_prompt;tissue1_instance_15;243;104;347
initial_prompt;sprite-can1_instance_16;245;19;264
initial_prompt;sprite-can1_instance_16;245;100;345
initial_prompt;dictionary1_instance_17;243;15;258
initial_prompt;dictionary1_instance_17;243;85;328
initial_prompt;dictionary1_instance_17;243;19;262
initial_prompt;novel1_instance_18;243;15;258
initial_prompt;novel1_instance_18;243;96;339
initial_prompt;plastic-water-bottle1_instance_19;248;22;270
initial_prompt;plastic-water-bottle1_instance_19;248;127;375
initial_prompt;stapler1_instance_8;245;18;263
initial_prompt;stapler1_instance_8;245;101;346
initial_prompt;file1_instance_9;243;17;260
initial_prompt;file1_instance_9;243;96;339
initial_prompt;file1_instance_9;243;15;258
initial_prompt;file1_instance_9;243;15;258
initial_prompt;file1_instance_9;243;15;258
initial_prompt;file1_instance_9;243;15;258
