prompt type;object handle;prompt tokens;completion tokens;total tokens
initial_prompt;apple-juice1_instance_46;246;18;264
initial_prompt;bottle-opener1_instance_25;246;18;264
initial_prompt;ceramic-plate1_instance_27;245;20;265
initial_prompt;cereal-box1_instance_37;245;18;263
initial_prompt;glass-tumbler1_instance_29;247;22;269
initial_prompt;ketchup1_instance_44;244;16;260
initial_prompt;milk1_instance_42;243;15;258
initial_prompt;paper-plate1_instance_18;245;17;262
initial_prompt;pepsi-can1_instance_15;247;19;266
initial_prompt;plastic-bottle1_instance_12;246;20;266
initial_prompt;plastic-cup1_instance_20;245;19;264
initial_prompt;plastic-fork1_instance_19;245;17;262
initial_prompt;pop-tart-box1_instance_39;248;20;268
initial_prompt;soda-can1_instance_13;245;17;262
initial_prompt;apple-core1_instance_17;245;19;264
initial_prompt;box-of-aluminum-foil1_instance_38;251;25;276
initial_prompt;coffee-grinder1_instance_36;246;20;266
initial_prompt;coke-can1_instance_14;246;15;261
initial_prompt;corkscrew1_instance_26;245;17;262
initial_prompt;crackers1_instance_41;244;18;262
initial_prompt;granola-bars1_instance_40;246;20;266
initial_prompt;half-and-half1_instance_43;247;19;266
initial_prompt;jar-of-salsa1_instance_45;248;20;268
initial_prompt;mug1_instance_31;243;18;261
initial_prompt;newspaper1_instance_16;243;17;260
initial_prompt;paper-cup1_instance_21;245;17;262
initial_prompt;plate1_instance_28;243;18;261
initial_prompt;steak-knife1_instance_30;245;17;262
initial_prompt;ceramic-bowl1_instance_35;246;19;265
initial_prompt;ceramic-plate1_instance_34;246;19;265
initial_prompt;glass-tumbler1_instance_33;248;21;269
initial_prompt;metal-fork1_instance_23;246;17;263
initial_prompt;mug1_instance_32;244;18;262
initial_prompt;paring-knife1_instance_22;247;18;265
initial_prompt;steak-knife1_instance_24;246;17;263
initial_prompt_temp;apple-juice1_instance_46;246;18;264
initial_prompt_temp;apple-juice1_instance_46;246;19;265
initial_prompt_temp;apple-juice1_instance_46;246;18;264
initial_prompt_temp;apple-juice1_instance_46;246;24;270
initial_prompt_temp;bottle-opener1_instance_25;246;18;264
initial_prompt_temp;bottle-opener1_instance_25;246;18;264
initial_prompt_temp;bottle-opener1_instance_25;246;18;264
initial_prompt_temp;bottle-opener1_instance_25;246;18;264
initial_prompt_temp;cereal-box1_instance_37;245;19;264
initial_prompt_temp;cereal-box1_instance_37;245;18;263
initial_prompt_temp;cereal-box1_instance_37;245;19;264
initial_prompt_temp;cereal-box1_instance_37;245;19;264
initial_prompt_temp;ketchup1_instance_44;244;12;256
initial_prompt_temp;ketchup1_instance_44;244;11;255
initial_prompt_temp;milk1_instance_42;243;15;258
initial_prompt_temp;milk1_instance_42;243;15;258
initial_prompt_temp;milk1_instance_42;243;15;258
initial_prompt_temp;milk1_instance_42;243;15;258
initial_prompt_temp;pepsi-can1_instance_15;247;19;266
initial_prompt_temp;pepsi-can1_instance_15;247;19;266
initial_prompt_temp;pepsi-can1_instance_15;247;19;266
initial_prompt_temp;plastic-fork1_instance_19;245;18;263
initial_prompt_temp;plastic-fork1_instance_19;245;19;264
initial_prompt_temp;soda-can1_instance_13;245;17;262
initial_prompt_temp;soda-can1_instance_13;245;17;262
initial_prompt_temp;soda-can1_instance_13;245;18;263
initial_prompt_temp;box-of-aluminum-foil1_instance_38;251;25;276
initial_prompt_temp;box-of-aluminum-foil1_instance_38;251;25;276
initial_prompt_temp;coffee-grinder1_instance_36;246;20;266
initial_prompt_temp;coffee-grinder1_instance_36;246;20;266
initial_prompt_temp;coffee-grinder1_instance_36;246;19;265
initial_prompt_temp;coffee-grinder1_instance_36;246;20;266
initial_prompt_temp;corkscrew1_instance_26;245;17;262
initial_prompt_temp;corkscrew1_instance_26;245;17;262
initial_prompt_temp;corkscrew1_instance_26;245;17;262
initial_prompt_temp;corkscrew1_instance_26;245;17;262
initial_prompt_temp;crackers1_instance_41;244;18;262
initial_prompt_temp;crackers1_instance_41;244;18;262
initial_prompt_temp;crackers1_instance_41;244;18;262
initial_prompt_temp;crackers1_instance_41;244;18;262
initial_prompt_temp;granola-bars1_instance_40;246;20;266
initial_prompt_temp;granola-bars1_instance_40;246;25;271
initial_prompt_temp;half-and-half1_instance_43;247;20;267
initial_prompt_temp;half-and-half1_instance_43;247;19;266
initial_prompt_temp;half-and-half1_instance_43;247;18;265
initial_prompt_temp;jar-of-salsa1_instance_45;248;15;263
initial_prompt_temp;jar-of-salsa1_instance_45;248;15;263
initial_prompt_temp;jar-of-salsa1_instance_45;248;20;268
initial_prompt_temp;jar-of-salsa1_instance_45;248;15;263
initial_prompt_temp;mug1_instance_31;243;18;261
initial_prompt_temp;mug1_instance_31;243;18;261
initial_prompt_temp;mug1_instance_31;243;18;261
initial_prompt_temp;mug1_instance_31;243;18;261
initial_prompt_temp;newspaper1_instance_16;243;17;260
initial_prompt_temp;newspaper1_instance_16;243;16;259
initial_prompt_temp;plate1_instance_28;243;18;261
initial_prompt_temp;plate1_instance_28;243;18;261
initial_prompt_temp;plate1_instance_28;243;18;261
initial_prompt_temp;plate1_instance_28;243;15;258
initial_prompt_temp;steak-knife1_instance_30;245;12;257
initial_prompt_temp;steak-knife1_instance_30;245;17;262
initial_prompt_temp;steak-knife1_instance_30;245;17;262
initial_prompt_temp;steak-knife1_instance_30;245;17;262
initial_prompt_temp;ceramic-bowl1_instance_35;246;17;263
initial_prompt_temp;ceramic-plate1_instance_34;246;19;265
initial_prompt_temp;ceramic-plate1_instance_34;246;19;265
initial_prompt_temp;ceramic-plate1_instance_34;246;17;263
initial_prompt_temp;metal-fork1_instance_23;246;17;263
initial_prompt_temp;metal-fork1_instance_23;246;17;263
initial_prompt_temp;metal-fork1_instance_23;246;24;270
initial_prompt_temp;mug1_instance_32;244;17;261
initial_prompt_temp;paring-knife1_instance_22;247;17;264
initial_prompt_temp;paring-knife1_instance_22;247;17;264
initial_prompt_temp;paring-knife1_instance_22;247;13;260
initial_prompt_temp;paring-knife1_instance_22;247;18;265
initial_prompt_temp;steak-knife1_instance_24;246;17;263
