prompt type;object handle;prompt tokens;completion tokens;total tokens
initial_prompt;apple-juice1_instance_46;246;18;264
initial_prompt;bottle-opener1_instance_25;246;18;264
recurse_prompt;bottle-opener1_instance_25;252;12;264
selection_prompt;bottle-opener1_instance_25;162;1;163
selection_prompt;bottle-opener1_instance_25;142;1;143
initial_prompt;ceramic-plate1_instance_27;245;20;265
recurse_prompt;ceramic-plate1_instance_27;257;7;264
recurse_prompt;ceramic-plate1_instance_27;257;9;266
recurse_prompt;ceramic-plate1_instance_27;260;2;262
recurse_prompt;ceramic-plate1_instance_27;262;0;262
recurse_prompt;ceramic-plate1_instance_27;262;0;262
recurse_prompt;ceramic-plate1_instance_27;264;0;264
recurse_prompt;ceramic-plate1_instance_27;264;0;264
recurse_prompt;ceramic-plate1_instance_27;264;0;264
selection_prompt;ceramic-plate1_instance_27;313;1;314
selection_prompt;ceramic-plate1_instance_27;298;1;299
selection_prompt;ceramic-plate1_instance_27;278;1;279
initial_prompt;cereal-box1_instance_37;245;19;264
recurse_prompt;cereal-box1_instance_37;257;7;264
selection_prompt;cereal-box1_instance_37;147;1;148
initial_prompt;glass-tumbler1_instance_29;247;22;269
recurse_prompt;glass-tumbler1_instance_29;253;14;267
recurse_prompt;glass-tumbler1_instance_29;259;7;266
recurse_prompt;glass-tumbler1_instance_29;266;0;266
recurse_prompt;glass-tumbler1_instance_29;266;0;266
recurse_prompt;glass-tumbler1_instance_29;261;7;268
recurse_prompt;glass-tumbler1_instance_29;266;0;266
recurse_prompt;glass-tumbler1_instance_29;266;0;266
recurse_prompt;glass-tumbler1_instance_29;268;2;270
recurse_prompt;glass-tumbler1_instance_29;261;7;268
recurse_prompt;glass-tumbler1_instance_29;268;0;268
recurse_prompt;glass-tumbler1_instance_29;268;0;268
selection_prompt;glass-tumbler1_instance_29;288;1;289
selection_prompt;glass-tumbler1_instance_29;267;1;268
selection_prompt;glass-tumbler1_instance_29;245;1;246
selection_prompt;glass-tumbler1_instance_29;224;1;225
initial_prompt;ketchup1_instance_44;244;16;260
recurse_prompt;ketchup1_instance_44;249;8;257
recurse_prompt;ketchup1_instance_44;249;7;256
selection_prompt;ketchup1_instance_44;171;1;172
initial_prompt;milk1_instance_42;243;15;258
initial_prompt;paper-plate1_instance_18;245;17;262
recurse_prompt;paper-plate1_instance_18;257;5;262
recurse_prompt;paper-plate1_instance_18;257;7;264
recurse_prompt;paper-plate1_instance_18;258;4;262
recurse_prompt;paper-plate1_instance_18;258;6;264
recurse_prompt;paper-plate1_instance_18;258;6;264
recurse_prompt;paper-plate1_instance_18;261;2;263
recurse_prompt;paper-plate1_instance_18;261;2;263
selection_prompt;paper-plate1_instance_18;309;1;310
selection_prompt;paper-plate1_instance_18;288;1;289
selection_prompt;paper-plate1_instance_18;267;1;268
selection_prompt;paper-plate1_instance_18;245;1;246
selection_prompt;paper-plate1_instance_18;225;1;226
initial_prompt;pepsi-can1_instance_15;247;19;266
recurse_prompt;pepsi-can1_instance_15;253;9;262
recurse_prompt;pepsi-can1_instance_15;261;5;266
recurse_prompt;pepsi-can1_instance_15;262;6;268
recurse_prompt;pepsi-can1_instance_15;262;6;268
recurse_prompt;pepsi-can1_instance_15;265;2;267
recurse_prompt;pepsi-can1_instance_15;265;2;267
recurse_prompt;pepsi-can1_instance_15;261;5;266
recurse_prompt;pepsi-can1_instance_15;261;7;268
recurse_prompt;pepsi-can1_instance_15;265;2;267
selection_prompt;pepsi-can1_instance_15;331;1;332
initial_prompt;plastic-bottle1_instance_12;246;20;266
recurse_prompt;plastic-bottle1_instance_12;259;9;268
recurse_prompt;plastic-bottle1_instance_12;264;2;266
recurse_prompt;plastic-bottle1_instance_12;259;5;264
recurse_prompt;plastic-bottle1_instance_12;259;5;264
recurse_prompt;plastic-bottle1_instance_12;260;6;266
recurse_prompt;plastic-bottle1_instance_12;260;6;266
recurse_prompt;plastic-bottle1_instance_12;263;2;265
recurse_prompt;plastic-bottle1_instance_12;263;2;265
selection_prompt;plastic-bottle1_instance_12;302;1;303
selection_prompt;plastic-bottle1_instance_12;281;1;282
selection_prompt;plastic-bottle1_instance_12;259;1;260
selection_prompt;plastic-bottle1_instance_12;237;1;238
selection_prompt;plastic-bottle1_instance_12;215;1;216
initial_prompt;plastic-cup1_instance_20;245;19;264
recurse_prompt;plastic-cup1_instance_20;257;5;262
recurse_prompt;plastic-cup1_instance_20;258;6;264
recurse_prompt;plastic-cup1_instance_20;258;6;264
recurse_prompt;plastic-cup1_instance_20;261;2;263
recurse_prompt;plastic-cup1_instance_20;261;2;263
recurse_prompt;plastic-cup1_instance_20;257;8;265
recurse_prompt;plastic-cup1_instance_20;264;0;264
recurse_prompt;plastic-cup1_instance_20;264;0;264
recurse_prompt;plastic-cup1_instance_20;262;0;262
recurse_prompt;plastic-cup1_instance_20;262;0;262
recurse_prompt;plastic-cup1_instance_20;262;0;262
recurse_prompt;plastic-cup1_instance_20;264;2;266
selection_prompt;plastic-cup1_instance_20;384;1;385
selection_prompt;plastic-cup1_instance_20;364;1;365
selection_prompt;plastic-cup1_instance_20;342;1;343
selection_prompt;plastic-cup1_instance_20;321;1;322
selection_prompt;plastic-cup1_instance_20;301;1;302
initial_prompt;plastic-fork1_instance_19;245;17;262
recurse_prompt;plastic-fork1_instance_19;257;5;262
recurse_prompt;plastic-fork1_instance_19;262;2;264
recurse_prompt;plastic-fork1_instance_19;262;0;262
recurse_prompt;plastic-fork1_instance_19;262;0;262
recurse_prompt;plastic-fork1_instance_19;257;5;262
recurse_prompt;plastic-fork1_instance_19;258;6;264
recurse_prompt;plastic-fork1_instance_19;257;7;264
recurse_prompt;plastic-fork1_instance_19;258;6;264
selection_prompt;plastic-fork1_instance_19;299;1;300
selection_prompt;plastic-fork1_instance_19;279;1;280
selection_prompt;plastic-fork1_instance_19;257;1;258
selection_prompt;plastic-fork1_instance_19;235;1;236
selection_prompt;plastic-fork1_instance_19;213;1;214
initial_prompt;pop-tart-box1_instance_39;248;20;268
