prompt type;object handle;prompt tokens;completion tokens;total tokens
initial_prompt;plastic-bottle1_instance_12;246;20;266
recurse_prompt;plastic-bottle1_instance_12;259;9;268
recurse_prompt;plastic-bottle1_instance_12;264;2;266
recurse_prompt;plastic-bottle1_instance_12;259;5;264
recurse_prompt;plastic-bottle1_instance_12;259;5;264
recurse_prompt;plastic-bottle1_instance_12;260;6;266
recurse_prompt;plastic-bottle1_instance_12;260;6;266
recurse_prompt;plastic-bottle1_instance_12;263;2;265
recurse_prompt;plastic-bottle1_instance_12;263;2;265
repair_prompt;plastic-bottle1_instance_12;305;14;319
repair_prompt;plastic-bottle1_instance_12;303;13;316
repair_prompt;plastic-bottle1_instance_12;304;13;317
repair_prompt;plastic-bottle1_instance_12;300;20;320
repair_recurse_prompt;plastic-bottle1_instance_12;313;7;320
repair_prompt;plastic-bottle1_instance_12;292;20;312
repair_recurse_prompt;plastic-bottle1_instance_12;305;7;312
repair_recurse_prompt;plastic-bottle1_instance_12;305;7;312
repair_prompt;plastic-bottle1_instance_12;297;20;317
repair_recurse_prompt;plastic-bottle1_instance_12;310;9;319
repair_prompt;plastic-bottle1_instance_12;296;20;316
repair_prompt;plastic-bottle1_instance_12;298;19;317
repair_prompt;plastic-bottle1_instance_12;300;14;314
repair_prompt;plastic-bottle1_instance_12;296;19;315
repair_recurse_prompt;plastic-bottle1_instance_12;309;6;315
repair_recurse_prompt;plastic-bottle1_instance_12;312;3;315
selection_prompt;plastic-bottle1_instance_12;157;1;158
initial_prompt;soda-can1_instance_13;245;17;262
recurse_prompt;soda-can1_instance_13;251;9;260
recurse_prompt;soda-can1_instance_13;257;7;264
recurse_prompt;soda-can1_instance_13;261;2;263
recurse_prompt;soda-can1_instance_13;261;2;263
recurse_prompt;soda-can1_instance_13;257;7;264
recurse_prompt;soda-can1_instance_13;258;6;264
recurse_prompt;soda-can1_instance_13;258;6;264
repair_prompt;soda-can1_instance_13;303;13;316
repair_prompt;soda-can1_instance_13;302;12;314
repair_prompt;soda-can1_instance_13;302;13;315
repair_prompt;soda-can1_instance_13;295;19;314
repair_recurse_prompt;soda-can1_instance_13;307;5;312
repair_recurse_prompt;soda-can1_instance_13;307;9;316
repair_prompt;soda-can1_instance_13;294;19;313
repair_recurse_prompt;soda-can1_instance_13;306;7;313
repair_prompt;soda-can1_instance_13;294;19;313
repair_recurse_prompt;soda-can1_instance_13;306;5;311
repair_prompt;soda-can1_instance_13;298;12;310
repair_prompt;soda-can1_instance_13;288;13;301
selection_prompt;soda-can1_instance_13;138;1;139
initial_prompt;pepsi-can1_instance_15;247;19;266
