prompt type;object handle;prompt tokens;completion tokens;total tokens
initial_prompt;plastic-bottle1_instance_12;246;20;266
initial_prompt;plastic-bottle1_instance_12;246;118;364
initial_prompt;plastic-bottle1_instance_12;246;21;267
initial_prompt;plastic-bottle1_instance_12;246;20;266
initial_prompt;plastic-bottle1_instance_12;246;20;266
initial_prompt;plastic-bottle1_instance_12;246;20;266
initial_prompt;soda-can1_instance_13;245;17;262
initial_prompt;soda-can1_instance_13;245;102;347
initial_prompt;pepsi-can1_instance_15;247;19;266
initial_prompt;pepsi-can1_instance_15;247;123;370
initial_prompt;pepsi-can1_instance_15;247;19;266
initial_prompt;pepsi-can1_instance_15;247;21;268
initial_prompt;paper-plate1_instance_18;245;17;262
initial_prompt;paper-plate1_instance_18;245;108;353
initial_prompt;plastic-fork1_instance_19;245;17;262
initial_prompt;plastic-fork1_instance_19;245;103;348
initial_prompt;plastic-fork1_instance_19;245;17;262
initial_prompt;plastic-fork1_instance_19;245;17;262
initial_prompt;plastic-fork1_instance_19;245;17;262
initial_prompt;plastic-fork1_instance_19;245;17;262
initial_prompt;plastic-cup1_instance_20;245;19;264
initial_prompt;plastic-cup1_instance_20;245;127;372
initial_prompt;bottle-opener1_instance_25;246;18;264
initial_prompt;bottle-opener1_instance_25;246;108;354
initial_prompt;bottle-opener1_instance_25;246;18;264
initial_prompt;bottle-opener1_instance_25;246;18;264
initial_prompt;bottle-opener1_instance_25;246;18;264
initial_prompt;bottle-opener1_instance_25;246;18;264
initial_prompt;ceramic-plate1_instance_27;245;20;265
initial_prompt;ceramic-plate1_instance_27;245;116;361
initial_prompt;ceramic-plate1_instance_27;245;17;262
initial_prompt;ceramic-plate1_instance_27;245;19;264
initial_prompt;ceramic-plate1_instance_27;245;19;264
initial_prompt;ceramic-plate1_instance_27;245;19;264
initial_prompt;glass-tumbler1_instance_29;247;22;269
initial_prompt;glass-tumbler1_instance_29;247;136;383
initial_prompt;glass-tumbler1_instance_29;247;22;269
initial_prompt;glass-tumbler1_instance_29;247;23;270
initial_prompt;cereal-box1_instance_37;245;19;264
initial_prompt;cereal-box1_instance_37;245;113;358
initial_prompt;cereal-box1_instance_37;245;19;264
initial_prompt;cereal-box1_instance_37;245;18;263
initial_prompt;cereal-box1_instance_37;245;18;263
initial_prompt;cereal-box1_instance_37;245;18;263
initial_prompt;pop-tart-box1_instance_39;248;20;268
initial_prompt;pop-tart-box1_instance_39;248;119;367
initial_prompt;milk1_instance_42;243;15;258
initial_prompt;milk1_instance_42;243;90;333
initial_prompt;milk1_instance_42;243;15;258
initial_prompt;milk1_instance_42;243;15;258
initial_prompt;milk1_instance_42;243;15;258
initial_prompt;milk1_instance_42;243;12;255
initial_prompt;ketchup1_instance_44;244;16;260
initial_prompt;ketchup1_instance_44;244;96;340
initial_prompt;ketchup1_instance_44;244;16;260
initial_prompt;ketchup1_instance_44;244;16;260
initial_prompt;ketchup1_instance_44;244;16;260
initial_prompt;ketchup1_instance_44;244;16;260
initial_prompt;apple-juice1_instance_46;246;18;264
initial_prompt;apple-juice1_instance_46;246;115;361
