prompt type;object handle;prompt tokens;completion tokens;total tokens
initial_prompt;plastic-bottle1_instance_12;246;20;266
initial_prompt;plastic-bottle1_instance_12;246;118;364
initial_prompt;soda-can1_instance_13;245;17;262
initial_prompt;soda-can1_instance_13;245;103;348
initial_prompt;pepsi-can1_instance_15;247;19;266
initial_prompt;pepsi-can1_instance_15;247;117;364
initial_prompt;paper-plate1_instance_18;245;17;262
initial_prompt;paper-plate1_instance_18;245;102;347
initial_prompt;plastic-fork1_instance_19;245;17;262
initial_prompt;plastic-fork1_instance_19;245;102;347
initial_prompt;plastic-fork1_instance_19;245;17;262
initial_prompt;plastic-fork1_instance_19;245;16;261
initial_prompt;plastic-fork1_instance_19;245;17;262
initial_prompt;plastic-fork1_instance_19;245;17;262
initial_prompt;plastic-cup1_instance_20;245;19;264
initial_prompt;plastic-cup1_instance_20;245;112;357
initial_prompt;plastic-cup1_instance_20;245;19;264
initial_prompt;plastic-cup1_instance_20;245;12;257
initial_prompt;bottle-opener1_instance_25;246;18;264
initial_prompt;bottle-opener1_instance_25;246;100;346
initial_prompt;bottle-opener1_instance_25;246;18;264
initial_prompt;bottle-opener1_instance_25;246;18;264
initial_prompt;bottle-opener1_instance_25;246;20;266
initial_prompt;ceramic-plate1_instance_27;245;20;265
initial_prompt;ceramic-plate1_instance_27;245;119;364
initial_prompt;glass-tumbler1_instance_29;247;22;269
initial_prompt;glass-tumbler1_instance_29;247;124;371
initial_prompt;glass-tumbler1_instance_29;247;22;269
initial_prompt;glass-tumbler1_instance_29;247;19;266
initial_prompt;cereal-box1_instance_37;245;19;264
initial_prompt;cereal-box1_instance_37;245;110;355
initial_prompt;cereal-box1_instance_37;245;20;265
initial_prompt;cereal-box1_instance_37;245;19;264
initial_prompt;pop-tart-box1_instance_39;248;20;268
initial_prompt;pop-tart-box1_instance_39;248;127;375
initial_prompt;milk1_instance_42;243;15;258
initial_prompt;milk1_instance_42;243;90;333
initial_prompt;milk1_instance_42;243;15;258
initial_prompt;milk1_instance_42;243;15;258
initial_prompt;milk1_instance_42;243;15;258
initial_prompt;milk1_instance_42;243;15;258
initial_prompt;ketchup1_instance_44;244;16;260
initial_prompt;ketchup1_instance_44;244;87;331
initial_prompt;ketchup1_instance_44;244;16;260
initial_prompt;ketchup1_instance_44;244;16;260
initial_prompt;ketchup1_instance_44;244;16;260
initial_prompt;ketchup1_instance_44;244;16;260
initial_prompt;apple-juice1_instance_46;246;18;264
initial_prompt;apple-juice1_instance_46;246;105;351
initial_prompt;apple-juice1_instance_46;246;13;259
initial_prompt;apple-juice1_instance_46;246;18;264
initial_prompt;apple-juice1_instance_46;246;18;264
initial_prompt;apple-juice1_instance_46;246;18;264
initial_prompt;coke-can1_instance_14;246;15;261
initial_prompt;coke-can1_instance_14;246;102;348
initial_prompt;coke-can1_instance_14;246;15;261
initial_prompt;coke-can1_instance_14;246;20;266
initial_prompt;newspaper1_instance_16;243;17;260
initial_prompt;newspaper1_instance_16;243;92;335
initial_prompt;apple-core1_instance_17;245;17;262
initial_prompt;apple-core1_instance_17;245;112;357
