data type;object handle;response;prompt type
retrieved_response;pen1_instance_10;the goal is that the pen is in the desk drawer and the drawer is closed;initial_prompt
retrieved_response;pen1_instance_10;the goal is that the pen is in the drawer and the drawer is closed;initial_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goals is that the paper-coffee-cup is in the trash and the desk is wiped down;initial_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash is closed;initial_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash can and the trash can is closed;initial_prompt
retrieved_response;pencil1_instance_12;the goal is that the pencil is in the pencil cup and the pencil cup is on the desk;initial_prompt
retrieved_response;pencil1_instance_12;the goal is that the pencil is in the drawer and the drawer is closed;initial_prompt
retrieved_response;pencil1_instance_12;the goal is that the pencil is in the desk drawer and the drawer is closed;initial_prompt
retrieved_response;folder1_instance_13;the goal is that the folder is in the drawer and the drawer is closed;initial_prompt
retrieved_response;book1_instance_14;the goal is that the book is on the shelf and the shelf is organized;initial_prompt
retrieved_response;book1_instance_14;the goal is that the book is on the shelf and the shelf is closed;initial_prompt
retrieved_response;book1_instance_14;the goal is that the book is on the shelf;initial_prompt
retrieved_response;tissue1_instance_15;the goal is that the tissue is in the wastebasket and the wastebasket is in the office;initial_prompt
retrieved_response;tissue1_instance_15;the goal is that the tissue is in the trash can;initial_prompt
retrieved_response;tissue1_instance_15;the goal is that the tissue is in the trash can and the trash can is closed;initial_prompt
retrieved_response;sprite-can1_instance_16;the goal is that the sprite-can is in the recycling bin and the desk is clean;initial_prompt
retrieved_response;sprite-can1_instance_16;the goal is that the sprite-can is in the trash and the office is clean;initial_prompt
retrieved_response;sprite-can1_instance_16;the goal is that the sprite-can is in the recycling bin and the recycling bin is closed;initial_prompt
retrieved_response;dictionary1_instance_17;the goal is that the dictionary is on the bookshelf and the bookshelf is closed;initial_prompt
retrieved_response;dictionary1_instance_17;the goal is that the dictionary is in the drawer and the drawer is closed;initial_prompt
retrieved_response;dictionary1_instance_17;the goal is that the dictionary is on the shelf and the shelf is closed;initial_prompt
retrieved_response;novel1_instance_18;the goal is that the novel is on the shelf and the shelf is closed;initial_prompt
retrieved_response;novel1_instance_18;the goal is that the novel is on the shelf and the shelf is organized;initial_prompt
retrieved_response;novel1_instance_18;the goal is that the novel is on the bookshelf and the bookshelf is closed;initial_prompt
retrieved_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the recycling bin and the recycling bin is shut;initial_prompt
retrieved_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the recycling bin and the recycling bin is closed;initial_prompt
retrieved_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the recycling bin;initial_prompt
retrieved_response;stapler1_instance_8;the goal is that the desk is clear and the stapler is in the drawer;initial_prompt
retrieved_response;stapler1_instance_8;the goal is that the stapler is in the desk drawer and the drawer is closed;initial_prompt
retrieved_response;stapler1_instance_8;the goal is that the stapler is in the drawer and the drawer is closed;initial_prompt
retrieved_response;file1_instance_9;the goal is that the file is in the filing cabinet and the drawer is closed;initial_prompt
retrieved_response;file1_instance_9;the goal is that the file is in the filing cabinet and the filing cabinet is closed;initial_prompt
retrieved_response;file1_instance_9;the goal is that the file is in the drawer and the drawer is closed;initial_prompt
