prompt type;object handle;prompt tokens;completion tokens;total tokens
initial_prompt;cream1_instance_15;243;15;258
initial_prompt;cream1_instance_15;243;90;333
initial_prompt;cream1_instance_15;243;15;258
initial_prompt;cream1_instance_15;243;15;258
initial_prompt;cream1_instance_15;243;15;258
initial_prompt;cream1_instance_15;243;15;258
initial_prompt;orange-juice1_instance_16;246;18;264
initial_prompt;orange-juice1_instance_16;246;98;344
initial_prompt;orange-juice1_instance_16;246;0;246
initial_prompt;orange-juice1_instance_16;246;18;264
initial_prompt;orange-juice1_instance_16;246;16;262
initial_prompt;orange-juice1_instance_16;246;18;264
initial_prompt;chips1_instance_17;243;17;260
initial_prompt;chips1_instance_17;243;105;348
initial_prompt;chips1_instance_17;243;16;259
initial_prompt;boxed-pasta1_instance_18;246;17;263
initial_prompt;boxed-pasta1_instance_18;246;114;360
initial_prompt;yogurt1_instance_19;243;15;258
initial_prompt;yogurt1_instance_19;243;85;328
initial_prompt;yogurt1_instance_19;243;15;258
initial_prompt;yogurt1_instance_19;243;15;258
initial_prompt;yogurt1_instance_19;243;15;258
initial_prompt;yogurt1_instance_19;243;15;258
initial_prompt;eggs1_instance_20;243;15;258
initial_prompt;eggs1_instance_20;243;80;323
initial_prompt;flour1_instance_21;243;17;260
initial_prompt;flour1_instance_21;243;103;346
initial_prompt;flour1_instance_21;243;17;260
initial_prompt;flour1_instance_21;243;17;260
initial_prompt;flour1_instance_21;243;17;260
initial_prompt;flour1_instance_21;243;17;260
initial_prompt;plastic-cups1_instance_22;246;18;264
initial_prompt;plastic-cups1_instance_22;246;113;359
initial_prompt;plastic-cups1_instance_22;246;19;265
initial_prompt;plastic-cups1_instance_22;246;18;264
initial_prompt;paper-plates1_instance_23;245;17;262
initial_prompt;paper-plates1_instance_23;245;108;353
initial_prompt;paper-plates1_instance_23;245;17;262
initial_prompt;can-of-beans1_instance_24;247;21;268
initial_prompt;can-of-beans1_instance_24;247;127;374
initial_prompt;can-of-beans1_instance_24;247;21;268
initial_prompt;can-of-beans1_instance_24;247;19;266
initial_prompt;granola1_instance_25;244;18;262
initial_prompt;granola1_instance_25;244;109;353
initial_prompt;cheese1_instance_26;243;15;258
initial_prompt;cheese1_instance_26;243;91;334
initial_prompt;cheese1_instance_26;243;15;258
initial_prompt;cheese1_instance_26;243;15;258
initial_prompt;cheese1_instance_26;243;15;258
initial_prompt;cheese1_instance_26;243;15;258
initial_prompt;butter1_instance_27;243;15;258
initial_prompt;butter1_instance_27;243;80;323
initial_prompt;butter1_instance_27;243;15;258
initial_prompt;butter1_instance_27;243;15;258
initial_prompt;butter1_instance_27;243;16;259
initial_prompt;butter1_instance_27;243;15;258
initial_prompt;apple-cider1_instance_28;246;18;264
initial_prompt;apple-cider1_instance_28;246;100;346
initial_prompt;apple-cider1_instance_28;246;18;264
initial_prompt;apple-cider1_instance_28;246;16;262
initial_prompt;apple-cider1_instance_28;246;13;259
initial_prompt;hummus1_instance_29;244;16;260
initial_prompt;hummus1_instance_29;244;95;339
initial_prompt;hummus1_instance_29;244;16;260
initial_prompt;hummus1_instance_29;244;12;256
initial_prompt;hummus1_instance_29;244;16;260
initial_prompt;hummus1_instance_29;244;15;259
