prompt type;object handle;prompt tokens;completion tokens;total tokens
initial_prompt;plastic-bottle1_instance_12;246;20;266
recurse_prompt;plastic-bottle1_instance_12;259;5;264
recurse_prompt;plastic-bottle1_instance_12;259;9;268
recurse_prompt;plastic-bottle1_instance_12;264;2;266
recurse_prompt;plastic-bottle1_instance_12;259;5;264
recurse_prompt;plastic-bottle1_instance_12;260;6;266
recurse_prompt;plastic-bottle1_instance_12;260;6;266
recurse_prompt;plastic-bottle1_instance_12;263;2;265
recurse_prompt;plastic-bottle1_instance_12;263;2;265
initial_prompt;soda-can1_instance_13;245;17;262
recurse_prompt;soda-can1_instance_13;251;9;260
recurse_prompt;soda-can1_instance_13;257;7;264
recurse_prompt;soda-can1_instance_13;261;2;263
recurse_prompt;soda-can1_instance_13;261;2;263
recurse_prompt;soda-can1_instance_13;257;7;264
recurse_prompt;soda-can1_instance_13;258;6;264
recurse_prompt;soda-can1_instance_13;258;6;264
initial_prompt;pepsi-can1_instance_15;247;19;266
recurse_prompt;pepsi-can1_instance_15;253;9;262
recurse_prompt;pepsi-can1_instance_15;261;5;266
recurse_prompt;pepsi-can1_instance_15;262;6;268
recurse_prompt;pepsi-can1_instance_15;262;6;268
recurse_prompt;pepsi-can1_instance_15;265;2;267
recurse_prompt;pepsi-can1_instance_15;265;2;267
recurse_prompt;pepsi-can1_instance_15;261;5;266
recurse_prompt;pepsi-can1_instance_15;261;7;268
recurse_prompt;pepsi-can1_instance_15;265;2;267
initial_prompt;paper-plate1_instance_18;245;17;262
recurse_prompt;paper-plate1_instance_18;257;5;262
recurse_prompt;paper-plate1_instance_18;257;7;264
recurse_prompt;paper-plate1_instance_18;258;4;262
recurse_prompt;paper-plate1_instance_18;258;6;264
recurse_prompt;paper-plate1_instance_18;258;6;264
recurse_prompt;paper-plate1_instance_18;261;2;263
recurse_prompt;paper-plate1_instance_18;261;2;263
initial_prompt;plastic-fork1_instance_19;245;17;262
recurse_prompt;plastic-fork1_instance_19;257;5;262
recurse_prompt;plastic-fork1_instance_19;262;2;264
recurse_prompt;plastic-fork1_instance_19;262;0;262
recurse_prompt;plastic-fork1_instance_19;262;0;262
recurse_prompt;plastic-fork1_instance_19;257;5;262
recurse_prompt;plastic-fork1_instance_19;258;6;264
recurse_prompt;plastic-fork1_instance_19;257;7;264
recurse_prompt;plastic-fork1_instance_19;258;6;264
initial_prompt;plastic-cup1_instance_20;245;19;264
recurse_prompt;plastic-cup1_instance_20;257;5;262
recurse_prompt;plastic-cup1_instance_20;258;6;264
recurse_prompt;plastic-cup1_instance_20;258;6;264
recurse_prompt;plastic-cup1_instance_20;261;2;263
